Product_ID,Product_Name,Catagory,Supplier_ID,Supplier_Name,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Price,Date_Received,Last_Order_Date,Expiration_Date,Warehouse_Location,Sales_Volume,Inventory_Turnover_Rate,Status
11-135-4240,Miele Neo Microwave (Arctic Silver) #7252,Cooling,53-129-2568,HomeSmart,174,64,149,"$26,446.81 ",1/1/2026,5/14/2026,,Zone-W-94,306,84,Discontinued
83-844-8890,Dyson Max Air Conditioner (Pearl White) #5684,Small Appliances,39-513-3114,GlobalAppliance,198,64,260,"$2,872.28 ",1/1/2026,5/14/2026,,Zone-Y-29,895,11,Out of Stock
78-297-4457,Tefal Smart QLED TV (Arctic Silver) #2731,Small Appliances,81-610-5015,TechFlow,482,76,66,"$55,522.16 ",1/1/2026,5/14/2026,,Zone-Z-160,146,54,Backordered
33-354-8971,LG Neo Air Conditioner (Pearl White) #5742,Small Appliances,69-255-9809,HomeSmart,492,12,88,"$74,473.44 ",1/1/2026,5/14/2026,,Zone-Z-142,261,54,Active
65-549-9368,Tefal Ultra Air Conditioner (Space Gray) #5521,Laundry,85-221-5024,HomeSmart,386,52,98,"$70,957.53 ",1/1/2026,5/14/2026,,Zone-Z-126,892,11,Active
69-463-9436,Bosch Max Dishwasher (Space Gray) #7340,Cleaning,56-197-1305,HomeSmart,150,62,157,"$20,164.02 ",1/1/2026,5/14/2026,,Zone-Y-129,845,72,Backordered
97-742-7336,Tefal Prime OLED TV (Rose Gold) #1576,Personal Care,38-697-2731,NanoGear,166,19,63,"$68,666.99 ",1/1/2026,5/14/2026,,Zone-Z-179,575,52,Active
22-524-5040,Miele Neo Air Conditioner (Jet Black) #6202,Cleaning,18-601-2583,EliteTech,149,43,271,"$34,956.04 ",1/1/2026,5/14/2026,,Zone-W-189,808,11,Active
30-605-1591,Panasonic Elite Dishwasher (Space Gray) #7363,Cleaning,44-698-1726,TechFlow,215,24,146,"$53,209.86 ",1/1/2026,5/14/2026,,Zone-Z-8,50,66,Discontinued
57-895-7884,Dyson Turbo OLED TV (Midnight Blue) #1439,Laundry,46-648-4467,ElectroMax,36,83,154,"$42,274.51 ",1/1/2026,5/14/2026,,Zone-Y-174,762,40,Out of Stock
72-629-3121,Philips Air Washing Machine (Space Gray) #3750,Cleaning,18-872-1849,GlobalAppliance,268,91,182,"$77,887.95 ",1/1/2026,5/14/2026,,Zone-Y-136,894,96,Out of Stock
42-377-7383,LG Turbo Vacuum Cleaner (Pearl White) #8487,Small Appliances,27-778-7407,GlobalAppliance,489,93,174,"$24,891.79 ",1/1/2026,5/14/2026,,Zone-Y-119,405,6,Active
51-967-9982,Hitachi Ultra Air Conditioner (Arctic Silver) #6272,Kitchen,73-979-7700,HomeSmart,389,90,220,"$75,792.34 ",1/1/2026,5/14/2026,,Zone-Y-33,55,31,Backordered
36-790-1773,Daikin Neo Microwave (Pearl White) #6653,Cooling,27-547-4096,EliteTech,92,31,51,"$53,700.28 ",1/1/2026,5/14/2026,,Zone-Y-23,784,54,Active
22-452-6851,Xiaomi Neo Dryer (Midnight Blue) #4999,Laundry,48-788-1876,HomeSmart,496,70,168,"$69,316.22 ",1/1/2026,5/14/2026,,Zone-X-4,42,88,Out of Stock
11-528-1011,Panasonic Max Microwave (Jet Black) #7033,Laundry,54-207-6512,TechFlow,445,58,290,"$16,393.40 ",1/1/2026,5/14/2026,,Zone-Y-153,9,14,Out of Stock
51-223-3977,Miele Prime OLED TV (Rose Gold) #1582,Personal Care,57-201-2664,CoreElectronics,273,72,159,"$78,486.13 ",1/1/2026,5/14/2026,,Zone-W-57,139,30,Out of Stock
22-177-6603,Sony Max Air Purifier (Space Gray) #10930,Cooling,67-435-8016,HomeSmart,66,55,234,"$7,466.72 ",1/1/2026,5/14/2026,,Zone-Z-186,933,26,Out of Stock
