Product_Name,Electronics_Stock,Unit_Price,Sales_Volume,Inventory_Value
Miele Neo Microwave (Arctic Silver) #7252,174.0,26446.81,306.0,4601744.94
Dyson Max Air Conditioner (Pearl White) #5684,198.0,2872.28,895.0,568711.4400000001
Tefal Smart QLED TV (Arctic Silver) #2731,482.0,55522.16,146.0,26761681.12
LG Neo Air Conditioner (Pearl White) #5742,492.0,74473.44,261.0,36640932.480000004
Tefal Ultra Air Conditioner (Space Gray) #5521,386.0,70957.53,892.0,27389606.58
Bosch Max Dishwasher (Space Gray) #7340,150.0,20164.02,845.0,3024603.0
Tefal Prime OLED TV (Rose Gold) #1576,166.0,68666.99,575.0,11398720.340000002
Miele Neo Air Conditioner (Jet Black) #6202,149.0,34956.04,808.0,5208449.96
Panasonic Elite Dishwasher (Space Gray) #7363,215.0,53209.86,50.0,11440119.9
Dyson Turbo OLED TV (Midnight Blue) #1439,36.0,42274.51,762.0,1521882.36
Philips Air Washing Machine (Space Gray) #3750,268.0,77887.95,894.0,20873970.599999998
LG Turbo Vacuum Cleaner (Pearl White) #8487,489.0,24891.79,405.0,12172085.31
Hitachi Ultra Air Conditioner (Arctic Silver) #6272,389.0,75792.34,55.0,29483220.259999998
Daikin Neo Microwave (Pearl White) #6653,92.0,53700.28,784.0,4940425.76
Xiaomi Neo Dryer (Midnight Blue) #4999,496.0,69316.22,42.0,34380845.12
Panasonic Max Microwave (Jet Black) #7033,445.0,16393.4,9.0,7295063.000000001
Miele Prime OLED TV (Rose Gold) #1582,273.0,78486.13,139.0,21426713.490000002
Sony Max Air Purifier (Space Gray) #10930,66.0,7466.72,933.0,492803.52
Samsung Pro Dishwasher (Arctic Silver) #8051,212.0,30389.93,128.0,6442665.16
Daikin Air Robot Vacuum (Space Gray) #9158,379.0,43369.59,11.0,16437074.61
Whirlpool Turbo Electric Kettle (Arctic Silver) #10896,199.0,32951.67,5.0,6557382.33
Mitsubishi Turbo Refrigerator (Midnight Blue) #3249,351.0,16684.3,510.0,5856189.3
Philips Turbo Air Conditioner (Space Gray) #5640,257.0,20815.29,981.0,5349529.53
Philips Max Electric Kettle (Rose Gold) #10485,454.0,69946.89,790.0,31755888.06
Miele Turbo Air Conditioner (Midnight Blue) #5947,14.0,12433.73,293.0,174072.22
Philips Ultra Air Purifier (Space Gray) #10920,338.0,9125.96,199.0,3084574.4799999995
Daikin Pro Refrigerator (Pearl White) #2963,148.0,78444.25,738.0,11609749.0
Sharp Turbo Robot Vacuum (Space Gray) #9243,226.0,50227.57,702.0,11351430.82
Philips Turbo Dishwasher (Pearl White) #7590,279.0,68757.1,607.0,19183230.900000002
Miele Turbo Robot Vacuum (Jet Black) #9847,440.0,9539.06,956.0,4197186.399999999
Tefal Ultra OLED TV (Midnight Blue) #1321,241.0,8963.89,281.0,2160297.4899999998
Sharp Prime Refrigerator (Arctic Silver) #3678,93.0,44839.75,257.0,4170096.75
Philips Prime Air Conditioner (Space Gray) #5625,201.0,8591.27,36.0,1726845.27
Mitsubishi Turbo Air Conditioner (Midnight Blue) #5949,330.0,27198.06,256.0,8975359.8
Panasonic Smart Robot Vacuum (Pearl White) #9328,359.0,67089.76,917.0,24085223.84
